userId,listing_id,n_host_listings_total,n_host_listings_different_location
496313683,805400871279824396,1,0
91413129,14895535,1,0
520392723,915337129569220340,1,0
123369026,48106053,1,0
318223537,914575067678468717,1,0
109064847,33044681,1,0
388453489,1128980240650049112,1,0
443302230,553696150992522086,1,0
222422994,557313667092274872,1,0
390093920,48327192,1,0
44544933,49042208,1,0
362410390,44801933,1,0
442579808,646905230085347484,1,0
127256794,40755598,3,1
127256794,39079258,3,2
127256794,40756165,3,1
88572166,610165494570142110,1,0
29664145,22954772,1,0
440628216,657254197038632164,1,0
20991264,48552165,1,0
248743716,44248097,2,1
248743716,33708703,2,1
463482777,908209931809047631,1,0
18171740,44099958,1,0
131701480,18898207,1,0
384246617,906667893616199346,1,0
277390187,51730896,1,0
76248343,15831819,2,0
76248343,16102380,2,0
73430309,18507916,1,0
263793483,35013733,1,0
256061795,33908756,1,0
256615087,619847043899285659,1,0
97653975,16229697,1,0
489756248,1148030597440607165,4,0
489756248,1131920968045186955,4,0
489756248,1127713689820420348,4,0
489756248,1126978100236978922,4,0
401940581,49839181,1,0
154629349,1096026116024047444,1,0
5586092,34623643,1,0
367661963,1051170874421203027,1,0
153191413,48913960,1,0
1409942,658215703867787126,1,0
258039845,34177449,1,0
513168138,884125099679710759,1,0
6072410,36178770,1,0
188579965,577812893995627884,1,0
523157695,1172109646403134306,1,0
24936186,4846143,1,0
514325814,1131375663532187638,1,0
425932646,1133526631882182585,2,1
425932646,1096413887622957069,2,1
71210950,51218933,1,0
98058202,656047176990376306,1,0
150869835,20970198,1,0
485685536,970457132621569405,1,0
538756931,990564678709141399,1,0
222023411,613702567168589353,1,0
34391193,1153735165225561912,1,0
351741459,43930696,1,0
124711149,19405728,1,0
254627474,33783125,1,0
66471110,19789594,1,0
125591738,25491145,1,0
242615504,640521589708209240,1,0
580907157,1169558976946868521,1,0
581799372,1172735599496371494,1,0
480084161,1004672601014534468,1,0
64813347,12091328,1,0
557304510,1108161456528052721,1,0
463111631,644270037574807465,1,0
203446411,27037258,1,0
163460274,904482853556440461,1,0
27441644,668038903512255365,1,0
574029631,1142020691772451775,1,0
215440348,43757089,1,0
11075908,50334967,1,0
466665500,918101288660598815,2,1
466665500,899632629072677071,2,1
509629656,888504922739775285,1,0
419472758,658664684994441949,1,0
27167394,876000238902791130,1,0
140159822,43356713,1,0
520174892,914440732682753888,1,0
407317249,52033290,1,0
63953663,11970829,1,0
119486267,664419318744935320,1,0
295170,635784735915950627,1,0
133378509,1134241425852966253,1,0
258407754,644293898509185237,1,0
467903083,664769371851796508,1,0
354865644,1124883468394512581,2,1
354865644,1125564973841440757,2,1
115068144,17123536,1,0
548699506,1078950641151885152,1,0
186510593,54035043,1,0
23858096,1084972013597729529,1,0
279063294,636890631178051635,2,1
279063294,49810158,2,1
106076947,50501158,1,0
574003704,1148025244371021938,1,0
166653946,1089287349185355272,2,0
166653946,37319037,2,0
141060103,19914839,1,0
290596753,47805111,1,0
526985854,1064763227143604604,1,0
363822848,892279225958800973,2,0
363822848,890843925812964081,2,0
159339442,23729836,1,0
291181758,38296768,1,0
14757349,3044835,1,0
59234171,11323962,1,0
80622225,924801626072170806,1,0
190009725,40428332,1,0
15975844,1106064745606498064,1,0
73611294,13250912,1,0
391611879,48530968,1,0
188713959,35619472,2,0
188713959,35620845,2,0
347703387,43557762,1,0
511007539,876909465114909577,1,0
174000829,1041962915601775069,1,0
403334706,50009729,1,0
128169133,905843081053255654,1,0
427732244,52830938,1,0
5583826,24279914,1,0
210316669,31360109,1,0
79116149,675428042427842278,1,0
429030810,53032187,1,0
102642103,841297283966556253,1,0
461276867,636344853015241093,1,0
125048300,18139167,1,0
399899987,670252205635105164,1,0
32168876,18616951,1,0
205280077,27255012,1,0
161227285,1170548452460847446,1,0
84577001,662176614073996919,1,0
21269240,42930149,1,0
560369852,1084208371931991328,1,0
52800696,1082655749890329238,1,0
364581991,45144051,1,0
93761179,679258803683155645,1,0
570625914,1127682561428222849,1,0
388571497,48169586,2,0
388571497,48169586,2,0
69814,2756891,2,0
69814,2756891,2,0
114528294,39054224,2,0
114528294,39054224,2,0
271090936,662169937097948540,2,0
271090936,662169937097948540,2,0
165815700,679077348249418764,2,0
165815700,679077348249418764,2,0
59377785,28927952,2,0
59377785,28927952,2,0
347705717,583450655193278773,2,0
347705717,583450655193278773,2,0
411613787,1087792788989576892,2,0
411613787,1087792788989576892,2,0
458447896,652901884694676440,2,0
458447896,652901884694676440,2,0
115256290,27909855,2,0
115256290,27909855,2,0
44696678,52263504,2,0
44696678,52263504,2,0
415161604,894360444002204055,2,0
415161604,894360444002204055,2,0
61857947,929183252525231194,1,0
96442206,998100640999759848,1,0
28511176,33806675,2,0
28511176,33806675,2,0
49508844,949536831642387059,1,0
2217609,30588430,2,0
2217609,30588430,2,0
11055123,21239157,2,0
11055123,21239157,2,0
131963567,24408370,2,0
131963567,24408370,2,0
72743977,648782034876441167,4,2
72743977,1126850826115063225,4,2
72743977,648782034876441167,4,2
72743977,1126850826115063225,4,2
52461014,932281266314444510,2,0
52461014,932281266314444510,2,0
101153598,44406318,2,0
101153598,44406318,2,0
93757778,756823752183899798,4,2
93757778,680638717418227412,4,2
93757778,756823752183899798,4,2
93757778,680638717418227412,4,2
114780757,918233589180153041,2,0
114780757,918233589180153041,2,0
11023173,49470649,2,0
11023173,49470649,2,0
443301262,1039877888068959799,2,0
443301262,1039877888068959799,2,0
446218594,567470393165230476,1,0
391612272,674859216891213170,2,0
391612272,674859216891213170,2,0
301577110,39280487,2,0
301577110,39280487,2,0
473977283,689038825765719760,2,0
473977283,689038825765719760,2,0
293174256,831827153845021757,2,0
293174256,831827153845021757,2,0
10294322,53495241,2,0
10294322,53495241,2,0
106664672,25086142,3,1
106664672,16302373,3,2
106664672,25086142,3,1
222113189,38750488,2,0
222113189,38750488,2,0
187012049,1066088792708458830,2,0
187012049,1066088792708458830,2,0
423156919,52280389,1,0
3040002,2690687,2,0
3040002,2690687,2,0
542743238,1006655222125451704,2,0
542743238,1006655222125451704,2,0
26189316,40156736,2,0
26189316,40156736,2,0
542044616,1004648830542381459,2,0
542044616,1004648830542381459,2,0
3027610,600011924187906301,2,0
3027610,600011924187906301,2,0
27283243,1135662706560922482,1,0
